"BAU","plus1","diff","year","SCC_j_1.5","SCC_j_3"
299228976414805,299228976414851,46,243,1.23455250527138,0.0349391413974364
305991011654486,305991011654533,47,244,1.2427493627705,0.0346589203393733
312897760101275,312897760101323,48,245,1.25043432371836,0.0343653826955158
319952185940173,319952185940221,48,246,1.2319549987373,0.0333644492189474
327157312114086,327157312114135,49,247,1.23903519987947,0.0330675164184551
334516221460960,334516221461010,50,248,1.2456370763843,0.0327595764002924
342032057872529,342032057872580,51,249,1.25177321961772,0.0324415222604837
349708027475077,349708027475128,51,250,1.23327410799776,0.0314966235538677
357547399832627,357547399832680,53,251,1.26269733843101,0.0317784322930704
365553509172992,365553509173045,53,252,1.24403678663153,0.0308528468864761
373729755637082,373729755637136,54,253,1.24877751609077,0.0305193942456441
382079606551947,382079606552002,55,254,1.25310642920986,0.0301791924399573
390606597727956,390606597728011,55,255,1.23458761498508,0.02930018683491
399314334780601,399314334780657,56,256,1.23845779559632,0.0289639975773161
408206494477361,408206494477418,57,257,1.24194395406387,0.0286225357473478
417286826110107,417286826110165,58,258,1.24505659555275,0.0282763936867002
426559152893523,426559152893582,59,259,1.24780599860051,0.027926133704642
436027373390032,436027373390092,60,260,1.25020221952126,0.0275722893249715
445695462961713,445695462961774,61,261,1.25225509672901,0.0272153664858133
455567475249728,455567475249789,61,262,1.23374886377243,0.0264226859085566
465647543681762,465647543681825,63,263,1.25536910954798,0.0264941781352708
475939883008004,475939883008067,63,264,1.23681685669751,0.0257225030439523
486448790866199,486448790866264,65,265,1.25722254570863,0.0257661072254107
497178649376321,497178649376386,65,266,1.23864290217599,0.025015638082923
508133926765408,508133926765475,67,267,1.25788669110711,0.0250343204115883
519319179023140,519319179023208,68,268,1.257794206239,0.0246679291115492
530739051588710,530739051588778,68,269,1.23920611452118,0.0239494457393681
542398281069597,542398281069667,69.875,270,1.25455704509081,0.0238930257144253
554301696992820,554301696992891,71.0625,271,1.25702244531337,0.0235913387613991
566454223589282,566454223589354,72,272,1.25478409347995,0.0232063787800734
578860881611823,578860881611896,73,273,1.25341049293974,0.0228433879577314
591526790187616,591526790187690,74,274,1.25180344797275,0.0224818554179029
604457168705531,604457168705607,76,275,1.26663642718585,0.0224169642057285
617657338739141,617657338739217,76,276,1.24791766225207,0.021764042918183
631132726006006,631132726006084,78,277,1.26183014850481,0.0216861950385574
644888862363944,644888862364022,78,278,1.24318241232001,0.0210545582898615
658931387844944,658931387845024,80,279,1.2562156496855,0.0209654551056625
673266052727458,673266052727539,81,280,1.25312152246952,0.020609245916974
687898719647749,687898719647831,82,281,1.24984449118167,0.020256001021118
702835365751053,702835365751136,83,282,1.24639063760758,0.0199058499260335
718082084883283,718082084883367,84,283,1.24276590372172,0.0195589120807909
733645089824025,733645089824111,86,284,1.25355228383847,0.019441359673463
749530714561609,749530714561696,87,285,1.24938765831077,0.0190945844614053
765745416611022,765745416611111,89,286,1.25922090017166,0.0189646023553741
782295779375472,782295779375562,90,287,1.25455118188354,0.0186191143447547
799188514552407,799188514552498,91,288,1.24974447237441,0.0182776634883784
816430464584821,816430464584914,93,289,1.25833633877356,0.0181353110468281
834028605158689,834028605158783,94,290,1.25307077540881,0.0177964217392404
851990047747380,851990047747475,95,291,1.24768602519481,0.0174618887133633
